component_name,roi_type,center_x_px,center_y_px,width_px,height_px,pixel_count,pixel_list
F1,Cursor_3x3,92.93,81.24,1,1,9,"[(92, 80), (92, 81), (92, 82), (93, 80), (93, 81), (93, 82), (94, 80), (94, 81), (94, 82)]"
Fault,Cursor_3x3,164.88,275.45,1,1,9,"[(164, 274), (164, 275), (164, 276), (165, 274), (165, 275), (165, 276), (166, 274), (166, 275), (166, 276)]"
GND,Cursor_3x3,138.23,220.01,1,1,9,"[(137, 219), (137, 220), (137, 221), (138, 219), (138, 220), (138, 221), (139, 219), (139, 220), (139, 221)]"
H1,Cursor_3x3,111.13,48.38,1,1,9,"[(110, 47), (110, 48), (110, 49), (111, 47), (111, 48), (111, 49), (112, 47), (112, 48), (112, 49)]"
H2,Cursor_3x3,374.01,175.14,1,1,9,"[(373, 174), (373, 175), (373, 176), (374, 174), (374, 175), (374, 176), (375, 174), (375, 175), (375, 176)]"
H3,Cursor_3x3,399.69,38.22,1,1,9,"[(399, 37), (399, 38), (399, 39), (400, 37), (400, 38), (400, 39), (401, 37), (401, 38), (401, 39)]"
Iac,Cursor_3x3,432.29,289.05,1,1,9,"[(431, 288), (431, 289), (431, 290), (432, 288), (432, 289), (432, 290), (433, 288), (433, 289), (433, 290)]"
Iac - limit,Cursor_3x3,404.92,272.45,1,1,9,"[(404, 271), (404, 272), (404, 273), (405, 271), (405, 272), (405, 273), (406, 271), (406, 272), (406, 273)]"
Iac + limit,Cursor_3x3,404.96,293.78,1,1,9,"[(404, 293), (404, 294), (404, 295), (405, 293), (405, 294), (405, 295), (406, 293), (406, 294), (406, 295)]"
IC1,Cursor_3x3,147.14,267.91,1,1,9,"[(146, 267), (146, 268), (146, 269), (147, 267), (147, 268), (147, 269), (148, 267), (148, 268), (148, 269)]"
IC2,Cursor_3x3,392.66,255.29,1,1,9,"[(392, 254), (392, 255), (392, 256), (393, 254), (393, 255), (393, 256), (394, 254), (394, 255), (394, 256)]"
Idc,Cursor_3x3,419.40,171.37,1,1,9,"[(418, 170), (418, 171), (418, 172), (419, 170), (419, 171), (419, 172), (420, 170), (420, 171), (420, 172)]"
Idc - limit,Cursor_3x3,428.53,170.08,1,1,9,"[(428, 169), (428, 170), (428, 171), (429, 169), (429, 170), (429, 171), (430, 169), (430, 170), (430, 171)]"
Idc + limit,Cursor_3x3,427.70,207.43,1,1,9,"[(427, 206), (427, 207), (427, 208), (428, 206), (428, 207), (428, 208), (429, 206), (429, 207), (429, 208)]"
J1,Cursor_3x3,79.22,249.19,1,1,9,"[(78, 248), (78, 249), (78, 250), (79, 248), (79, 249), (79, 250), (80, 248), (80, 249), (80, 250)]"
J2,Cursor_3x3,442.36,170.07,1,1,9,"[(441, 169), (441, 170), (441, 171), (442, 169), (442, 170), (442, 171), (443, 169), (443, 170), (443, 171)]"
J3,Cursor_3x3,356.63,220.70,1,1,9,"[(356, 220), (356, 221), (356, 222), (357, 220), (357, 221), (357, 222), (358, 220), (358, 221), (358, 222)]"
J3,Cursor_3x3,430.99,145.00,1,1,9,"[(430, 144), (430, 145), (430, 146), (431, 144), (431, 145), (431, 146), (432, 144), (432, 145), (432, 146)]"
