Component,Type,X,Y,Width,Height,Rotation,Layer,Reference
R7,Box,194.3102,86.2076,1,1,0,TopLayer,R7
R8,Box,191.5668,94.7674,1,1,0,TopLayer,R8
R9,Box,189.7888,118.1354,1,1,0,TopLayer,R9
R10,Box,190.4238,86.2076,1,1,0,TopLayer,R10
R11,Box,190.4112,88.2904,1,1,0,TopLayer,R11
R12,Box,186.2582,118.1608,1,1,0,TopLayer,R12
R13,Box,203.0984,88.265,1,1,0,TopLayer,R13
R14,Box,176.8856,57.658,1,1,0,TopLayer,R14
R15,Box,202.7174,94.7674,1,1,0,TopLayer,R15
R16,Box,203.0984,86.2076,1,1,0,TopLayer,R16
R17,Box,90.0168,58.5694,1,1,0,TopLayer,R17
R18,Box,199.898,94.7928,1,1,0,TopLayer,R18
R19,Box,199.3392,86.2076,1,1,0,TopLayer,R19
R20,Box,199.3138,88.2904,1,1,0,TopLayer,R20
R21,Box,195.9056,10.1346,1,1,0,TopLayer,R21
R22,Box,203.1746,10.9094,1,1,0,TopLayer,R22
R23,Box,208.8134,17.907,1,1,0,TopLayer,R23
R25,Box,187.9346,14.0462,1,1,0,TopLayer,R25
R26,Box,195.9102,14.6431,1,1,0,TopLayer,R26
R27,Box,203.0783,71.5228,1,1,0,TopLayer,R27
R28,Box,211.201,67.2338,1,1,0,TopLayer,R28
R30,Box,198.4248,64.5795,1,1,0,TopLayer,R30
R32,Box,211.1756,69.3166,1,1,0,TopLayer,R32
R33,Box,194.5894,67.6402,1,1,0,TopLayer,R33
R34,Box,190.4956,69.6468,1,1,0,TopLayer,R34
R35,Box,100.469,58.5694,1,1,0,TopLayer,R35
R37,Box,189.4712,64.7008,1,1,0,TopLayer,R37
R38,Box,193.7512,61.9252,1,1,0,TopLayer,R38
R42,Box,92.71,21.1074,1,1,0,TopLayer,R42
R43,Box,92.71,24.4856,1,1,0,TopLayer,R43
R45,Box,53.302,45.1467,1,1,0,TopLayer,R45
R46,Box,89.8917,30.7958,1,1,0,TopLayer,R46
R48,Box,93.0669,30.7929,1,1,0,TopLayer,R48
R51,Box,89.8917,35.218,1,1,0,TopLayer,R51
R53,Box,93.0669,35.2279,1,1,0,TopLayer,R53
R56,Box,203.0329,137.0385,1,1,0,TopLayer,R56
R57,Box,203.0476,115.6321,1,1,0,TopLayer,R57
R58,Box,218.567,115.6716,1,1,0,TopLayer,R58
R59,Box,218.5523,137.1402,1,1,0,TopLayer,R59
R60,Box,135.4374,31.8996,1,1,0,TopLayer,R60
R61,Box,53.302,52.7304,1,1,0,TopLayer,R61
R62,Box,132.2368,31.8996,1,1,0,TopLayer,R62
R63,Box,135.3104,36.0268,1,1,0,TopLayer,R63
R64,Box,121.92,20.9804,1,1,0,TopLayer,R64
R65,Box,121.92,24.0814,1,1,0,TopLayer,R65
R66,Box,132.1098,36.0268,1,1,0,TopLayer,R66
R88,Box,52.8194,58.3948,1,1,0,TopLayer,R88
R89,Box,53.302,49.6969,1,1,0,TopLayer,R89
R90,Box,53.302,46.6634,1,1,0,TopLayer,R90
R91,Box,53.302,43.6299,1,1,0,TopLayer,R91
R92,Box,53.302,48.1802,1,1,0,TopLayer,R92
R93,Box,60.4904,43.6299,1,1,0,TopLayer,R93
R94,Box,60.4904,45.1467,1,1,0,TopLayer,R94
R95,Box,60.4904,46.6634,1,1,0,TopLayer,R95
R96,Box,60.4904,48.1802,1,1,0,TopLayer,R96
R97,Box,60.4904,51.2136,1,1,0,TopLayer,R97
R98,Box,53.302,51.2136,1,1,0,TopLayer,R98
R99,Box,60.4904,49.6969,1,1,0,TopLayer,R99
R100,Box,60.4904,52.7304,1,1,0,TopLayer,R100
R101,Box,143.4222,57.5818,1,1,0,TopLayer,R101
R103,Box,217.3732,79.4004,1,1,0,TopLayer,R103
R104,Box,187.9346,10.8966,1,1,0,TopLayer,R104
R105,Box,199.9996,64.5795,1,1,0,TopLayer,R105
R107,Box,107.2388,36.0934,1,1,0,TopLayer,R107
R120,Box,118.6688,36.0934,1,1,0,TopLayer,R120
R121,Box,136.3362,45.0126,1,1,0,TopLayer,R121
R122,Box,126.591,44.9832,1,1,0,TopLayer,R122
R123,Box,80.7364,45.2378,1,1,0,TopLayer,R123
R124,Box,117.0406,45.0342,1,1,0,TopLayer,R124
R125,Box,107.9526,45.0346,1,1,0,TopLayer,R125
R126,Box,89.6235,45.2243,1,1,0,TopLayer,R126
R127,Box,99.0346,45.1486,1,1,0,TopLayer,R127
R131,Box,16.6812,43.575,1,1,0,TopLayer,R131
R138,Box,146.1034,45.187,1,1,0,TopLayer,R138
R139,Box,60.4904,42.1132,1,1,0,TopLayer,R139
R140,Box,53.302,42.1132,1,1,0,TopLayer,R140
RST High,Box,16.51,37.3126,1,1,0,TopLayer,RST High
RST Low,Box,153.2382,47.117,1,1,0,TopLayer,RST Low
SCLK,Cursor_3x3,223.5708,45.4152,0,0,0,TopLayer,SCLK
SW1,Cursor_3x3,23.3934,43.4848,0,0,0,TopLayer,SW1
SW2,Cursor_3x3,193.2946,47.9526,0,0,0,TopLayer,SW2
U1,Cursor_3x3,192.3542,98.3488,0,0,0,TopLayer,U1
U2,Cursor_3x3,192.3542,91.0619,0,0,0,TopLayer,U2
U3,Cursor_3x3,192.3034,77.724,0,0,0,TopLayer,U3
U4,Cursor_3x3,201.3122,98.4348,0,0,0,TopLayer,U4
U5,Cursor_3x3,201.3122,91.0619,0,0,0,TopLayer,U5
U6,Cursor_3x3,201.4474,77.6732,0,0,0,TopLayer,U6
U7,Cursor_3x3,191.0185,12.4714,0,0,0,TopLayer,U7
U8,Cursor_3x3,203.0074,64.8462,0,0,0,TopLayer,U8
U9,Cursor_3x3,193.7766,64.7192,0,0,0,TopLayer,U9
U10,Cursor_3x3,112.7252,26.8732,0,0,0,TopLayer,U10
U12,Cursor_3x3,101.0323,33.5788,0,0,0,TopLayer,U12
U13,Cursor_3x3,125.0785,33.5788,0,0,0,TopLayer,U13
U14,Cursor_3x3,213.8614,48.895,0,0,0,TopLayer,U14
U16,Cursor_3x3,213.8614,38.684,0,0,0,TopLayer,U16
U17,Cursor_3x3,79.8068,23.673,0,0,0,TopLayer,U17
U18,Cursor_3x3,79.8068,33.8582,0,0,0,TopLayer,U18
U19,Cursor_3x3,99.2124,22.6314,0,0,0,TopLayer,U19
U20,Cursor_3x3,107.1526,29.7688,0,0,0,TopLayer,U20
U21,Cursor_3x3,150.1968,23.6978,0,0,0,TopLayer,U21
U22,Cursor_3x3,150.1968,33.9088,0,0,0,TopLayer,U22
U23,Cursor_3x3,128.3208,22.8092,0,0,0,TopLayer,U23
U24,Cursor_3x3,118.9736,29.7942,0,0,0,TopLayer,U24
U25,Cursor_3x3,213.8614,28.4734,0,0,0,TopLayer,U25
U26,Cursor_3x3,196.6468,56.3372,0,0,0,TopLayer,U26
U27,Cursor_3x3,137.8982,49.2038,0,0,0,TopLayer,U27
U28,Cursor_3x3,127.9626,49.1488,0,0,0,TopLayer,U28
U29,Cursor_3x3,82.0826,49.2764,0,0,0,TopLayer,U29
U30,Cursor_3x3,118.4122,49.1878,0,0,0,TopLayer,U30
U31,Cursor_3x3,109.3242,49.124,0,0,0,TopLayer,U31
U32,Cursor_3x3,91.0613,49.4157,0,0,0,TopLayer,U32
U33,Cursor_3x3,100.4062,49.4284,0,0,0,TopLayer,U33
U34,Cursor_3x3,56.6434,35.0266,0,0,0,TopLayer,U34
U35,Cursor_3x3,58.1914,10.9982,0,0,0,TopLayer,U35
U36,Cursor_3x3,105.1116,143.5862,0,0,0,TopLayer,U36
U38,Cursor_3x3,112.776,31.1404,0,0,0,TopLayer,U38
U39,Cursor_3x3,166.116,41.9862,0,0,0,TopLayer,U39
U40,Cursor_3x3,147.5512,49.2038,0,0,0,TopLayer,U40
U200,Cursor_3x3,23.9776,26.721,0,0,0,TopLayer,U200
Vdc,Cursor_3x3,190.0002,108.6612,0,0,0,TopLayer,Vdc
Vdc + limit,Cursor_3x3,190.9866,72.4408,0,0,0,TopLayer,Vdc + limit
Voltage-Freq Level,Cursor_3x3,117.8306,39.7256,0,0,0,TopLayer,Voltage-Freq Level
VR1,Cursor_3x3,199.5678,12.5222,0,0,0,TopLayer,VR1
VR2,Cursor_3x3,211.5058,74.5744,0,0,0,TopLayer,VR2
VR3,Cursor_3x3,211.0486,61.8236,0,0,0,TopLayer,VR3
VR4,Cursor_3x3,196.3674,70.9168,0,0,0,TopLayer,VR4
VR5,Cursor_3x3,112.7252,35.8394,0,0,0,TopLayer,VR5
VR6,Cursor_3x3,113.0046,22.0218,0,0,0,TopLayer,VR6
